Q_]UVC.ISO,Q_UVB.ISO,Q_UVA.ISO,Q_PAR,]UVC:PAR[q:q],UVB:PAR[q:q],UVA:PAR[q:q],blue:green[q:q],red:far-red[q:q]
0.609,0.42,0.674,801,7.61e-4,5.24e-4,8.42e-4,0.00403,4.56
0.00514,0.00596,0.0105,68.7,7.48e-5,8.68e-5,1.53e-4,0.00285,4.76
-0.00173,0.00288,0.00294,15.4,-1.12e-4,1.87e-4,1.91e-4,0.00279,4.81
