spct.idx,E_UVB.ISO,E_UVA2.CIE,E_UVA1.CIE,E_Blue.Sellaro,E_Green.Sellaro,E_Red.Smith20,E_FarRed.Smith20,]UVC:PAR[e:e],UVB:PAR[e:e],UVA:PAR[e:e],blue:green[e:e],red:far-red[e:e],when.measured
elgato.max.7000K.spct,0.0293,0.015,0.0244,3.62,3.67,0.645,0.11,0.00331,0.00227,0.00305,0.985,5.96,2022-09-30T20:05:42Z
elgato.max.6500.spct,0.015,0.00797,0.0118,3.71,3.93,0.741,0.124,0.00102,0.00108,0.00142,0.946,6.04,2022-09-30T20:09:18Z
elgato.max.6000.spct,0.0138,0.00816,0.0131,3.89,4.33,0.896,0.15,0.00113,8.8e-4,0.00136,0.897,6.04,2022-09-30T20:11:27Z
elgato.max.5500.spct,0.00727,0.00443,0.00777,4.04,4.71,1.04,0.173,2.72e-4,4.24e-4,7.12e-4,0.859,6.09,2022-09-30T20:12:59Z
elgato.max.5000.spct,0.00601,0.00529,0.00787,4.26,5.24,1.24,0.207,4.46e-5,3.11e-4,6.8e-4,0.813,6.08,2022-09-30T20:14:37Z
elgato.max.4500.spct,0.0101,0.00689,0.011,4.53,5.88,1.48,0.246,1.75e-4,4.6e-4,8.15e-4,0.769,6.08,2022-09-30T20:16:02Z
elgato.max.4250.spct,0.0223,0.014,0.0213,4.69,6.27,1.62,0.271,0.00111,9.47e-4,0.0015,0.748,6.06,2022-09-30T20:17:35Z
elgato.max.4000.spct,0.00818,0.00567,0.00963,4.53,6.23,1.65,0.276,1.27e-5,3.48e-4,6.51e-4,0.728,6.08,2022-09-30T20:19:04Z
elgato.max.3750.spct,0.00654,0.00522,0.00693,4.03,5.7,1.56,0.261,-2.12e-4,3.02e-4,5.61e-4,0.707,6.08,2022-09-30T20:20:25Z
elgato.max.3500.spct,0.0175,0.00987,0.0145,3.38,5.02,1.45,0.242,9.56e-4,9.08e-4,0.00126,0.673,6.08,2022-09-30T20:22:12Z
elgato.max.3250.spct,0.00249,0.00121,0.0038,1.62,3.26,1.13,0.188,2.53e-4,1.9e-4,3.83e-4,0.498,6.12,2022-09-30T20:25:50Z
elgato.max.3250.spct,0.00249,0.00121,0.0038,1.62,3.26,1.13,0.188,2.53e-4,1.9e-4,3.83e-4,0.498,6.12,2022-09-30T20:25:50Z
elgato.max.3250.spct,0.00249,0.00121,0.0038,1.62,3.26,1.13,0.188,2.53e-4,1.9e-4,3.83e-4,0.498,6.12,2022-09-30T20:25:50Z
elgato.max.3250.spct,0.00249,0.00121,0.0038,1.62,3.26,1.13,0.188,2.53e-4,1.9e-4,3.83e-4,0.498,6.12,2022-09-30T20:25:50Z
elgato.max.3250.spct,0.00249,0.00121,0.0038,1.62,3.26,1.13,0.188,2.53e-4,1.9e-4,3.83e-4,0.498,6.12,2022-09-30T20:25:50Z
elgato.max.3250.spct,0.00249,0.00121,0.0038,1.62,3.26,1.13,0.188,2.53e-4,1.9e-4,3.83e-4,0.498,6.12,2022-09-30T20:25:50Z
elgato.max.3250.spct,0.00249,0.00121,0.0038,1.62,3.26,1.13,0.188,2.53e-4,1.9e-4,3.83e-4,0.498,6.12,2022-09-30T20:25:50Z
elgato.max.3250.spct,0.00249,0.00121,0.0038,1.62,3.26,1.13,0.188,2.53e-4,1.9e-4,3.83e-4,0.498,6.12,2022-09-30T20:25:50Z
elgato.max.3250.spct,0.00249,0.00121,0.0038,1.62,3.26,1.13,0.188,2.53e-4,1.9e-4,3.83e-4,0.498,6.12,2022-09-30T20:25:50Z
elgato.max.3250.spct,0.00249,0.00121,0.0038,1.62,3.26,1.13,0.188,2.53e-4,1.9e-4,3.83e-4,0.498,6.12,2022-09-30T20:25:50Z
elgato.max.3250.spct,0.00249,0.00121,0.0038,1.62,3.26,1.13,0.188,2.53e-4,1.9e-4,3.83e-4,0.498,6.12,2022-09-30T20:25:50Z
elgato.max.3250.spct,0.00249,0.00121,0.0038,1.62,3.26,1.13,0.188,2.53e-4,1.9e-4,3.83e-4,0.498,6.12,2022-09-30T20:25:50Z
elgato.max.3250.spct,0.00249,0.00121,0.0038,1.62,3.26,1.13,0.188,2.53e-4,1.9e-4,3.83e-4,0.498,6.12,2022-09-30T20:25:50Z
elgato.max.3250.spct,0.00249,0.00121,0.0038,1.62,3.26,1.13,0.188,2.53e-4,1.9e-4,3.83e-4,0.498,6.12,2022-09-30T20:25:50Z
elgato.max.3250.spct,0.00249,0.00121,0.0038,1.62,3.26,1.13,0.188,2.53e-4,1.9e-4,3.83e-4,0.498,6.12,2022-09-30T20:25:50Z
elgato.max.3250.spct,0.00249,0.00121,0.0038,1.62,3.26,1.13,0.188,2.53e-4,1.9e-4,3.83e-4,0.498,6.12,2022-09-30T20:25:50Z
elgato.max.2900.spct,0.00687,0.00347,0.00653,1.17,2.82,1.05,0.175,5.92e-4,5.97e-4,8.68e-4,0.413,6.12,2022-09-30T20:27:19Z
elgato.half.2900.spct,-8.39e-4,-2.99e-4,1.8e-4,0.612,1.46,0.552,0.0908,-7.35e-4,-1.4e-4,-1.98e-5,0.419,6.17,2022-09-30T20:29:35Z
elgato.half.4000.spct,0.00307,0.00339,0.00442,2.42,3.26,0.876,0.145,5.05e-5,2.48e-4,6.3e-4,0.743,6.12,2022-09-30T20:32:01Z
elgato.half.7000.spct,0.0023,0.00187,0.00288,1.91,1.91,0.342,0.0574,-4.13e-6,3.39e-4,7.02e-4,1,6.04,2022-09-30T20:33:43Z
