spct.idx,E_UVB.ISO,E_UVA2.CIE,E_UVA1.CIE,E_Blue.Sellaro,E_Green.Sellaro,E_Red.Smith20,E_FarRed.Smith20,]UVC:PAR[e:e],UVB:PAR[e:e],UVA:PAR[e:e],blue:green[e:e],red:far-red[e:e],when.measured
BLB.x2.at.94cm.no.filter.spct,9.43e-4,0.0767,0.974,0.00266,1.64e-4,-1.95e-6,1.33e-4,-0.0861,0.0337,37.5,16.2,-0.078,2022-10-19T12:56:48Z
BLB.x2.94cm.dish.lid.spct,0.00122,0.0655,0.935,0.00309,-8.64e-4,-2.52e-4,9.84e-5,-0.0442,0.0384,31.5,-3.58,25.4,2022-10-19T13:01:40Z
BLB.x2.81cm.dish.lid.spct,0.00128,0.0824,1.17,0.00513,0.00279,6.42e-4,5.37e-4,-0.00598,0.0266,26,1.84,1.18,2022-10-19T13:13:29Z
BLB.x2.69.5cm.dish.lid.spct,-1.1e-4,0.0807,1.16,-0.00255,-0.0115,-9.41e-4,1.1e-4,1.44,0.0373,-423,0.221,-7.85,2022-10-19T13:23:30Z
BLB.x2.695mm.dish.dish.spct,-0.00106,0.0923,1.32,0.00368,-3.17e-4,-2.01e-4,3.33e-5,-0.112,-0.0233,31.1,-11.6,12,2022-10-19T13:25:40Z
BLB.x2.600mm.dish.lid.spct,0.00179,0.108,1.54,0.00513,0.00102,1.07e-4,3.75e-4,-0.0278,0.0315,29.1,5.04,0.409,2022-10-19T13:43:35Z
BLB.x2.600mm.dish.lid.spct,0.00179,0.108,1.54,0.00513,0.00102,1.07e-4,3.75e-4,-0.0278,0.0315,29.1,5.04,0.409,2022-10-19T13:43:35Z
BLB.x2.600mm.dish.lid.spct,0.00179,0.108,1.54,0.00513,0.00102,1.07e-4,3.75e-4,-0.0278,0.0315,29.1,5.04,0.409,2022-10-19T13:43:35Z
BLB.x2.600mm.dish.lid.spct,0.00179,0.108,1.54,0.00513,0.00102,1.07e-4,3.75e-4,-0.0278,0.0315,29.1,5.04,0.409,2022-10-19T13:43:35Z
BLB.x2.600mm.dish.lid.spct,0.00179,0.108,1.54,0.00513,0.00102,1.07e-4,3.75e-4,-0.0278,0.0315,29.1,5.04,0.409,2022-10-19T13:43:35Z
BLB.x2.600mm.dish.lid.spct,0.00179,0.108,1.54,0.00513,0.00102,1.07e-4,3.75e-4,-0.0278,0.0315,29.1,5.04,0.409,2022-10-19T13:43:35Z
BLB.x2.600mm.dish.lid.spct,0.00179,0.108,1.54,0.00513,0.00102,1.07e-4,3.75e-4,-0.0278,0.0315,29.1,5.04,0.409,2022-10-19T13:43:35Z
BLB.x2.600mm.dish.lid.spct,0.00179,0.108,1.54,0.00513,0.00102,1.07e-4,3.75e-4,-0.0278,0.0315,29.1,5.04,0.409,2022-10-19T13:43:35Z
BLB.x2.600mm.dish.lid.spct,0.00179,0.108,1.54,0.00513,0.00102,1.07e-4,3.75e-4,-0.0278,0.0315,29.1,5.04,0.409,2022-10-19T13:43:35Z
BLB.x2.600mm.dish.lid.spct,0.00179,0.108,1.54,0.00513,0.00102,1.07e-4,3.75e-4,-0.0278,0.0315,29.1,5.04,0.409,2022-10-19T13:43:35Z
BLB.x2.600mm.dish.lid.spct,0.00179,0.108,1.54,0.00513,0.00102,1.07e-4,3.75e-4,-0.0278,0.0315,29.1,5.04,0.409,2022-10-19T13:43:35Z
BLB.x2.600mm.dish.lid.spct,0.00179,0.108,1.54,0.00513,0.00102,1.07e-4,3.75e-4,-0.0278,0.0315,29.1,5.04,0.409,2022-10-19T13:43:35Z
BLB.x2.600mm.dish.lid.spct,0.00179,0.108,1.54,0.00513,0.00102,1.07e-4,3.75e-4,-0.0278,0.0315,29.1,5.04,0.409,2022-10-19T13:43:35Z
BLB.x2.600mm.dish.lid.spct,0.00179,0.108,1.54,0.00513,0.00102,1.07e-4,3.75e-4,-0.0278,0.0315,29.1,5.04,0.409,2022-10-19T13:43:35Z
BLB.x2.600mm.dish.lid.spct,0.00179,0.108,1.54,0.00513,0.00102,1.07e-4,3.75e-4,-0.0278,0.0315,29.1,5.04,0.409,2022-10-19T13:43:35Z
BLB.x2.600mm.dish.lid.spct,0.00179,0.108,1.54,0.00513,0.00102,1.07e-4,3.75e-4,-0.0278,0.0315,29.1,5.04,0.409,2022-10-19T13:43:35Z
BLB.x2.595mm.dish.lid.left.side.spct,0.00184,0.118,1.68,0.00571,4.79e-4,-1.35e-4,4.58e-5,-0.0402,0.0314,30.8,11.9,-23.7,2022-10-19T13:48:33Z
BLB.x2.595mm.dish.lid.center.no.base.spct,7.18e-4,0.0866,1.25,0.00341,1.08e-4,-1.47e-4,8.62e-5,-0.0372,0.0178,33,31.6,-4.24,2022-10-19T13:52:19Z
BLB.x2.595mm.dish.lind.centre.no.base.2nd.take.spct,0.00126,0.127,1.81,0.00574,4.93e-4,-1.96e-5,2.31e-4,0.0232,0.019,29.1,11.6,-0.0708,2022-10-19T13:58:35Z
