w.length,TL01,TL12
293.5,7.72E+00,1.74E+02
294,8.30E+00,1.80E+02
294.5,8.85E+00,1.84E+02
295,9.72E+00,1.93E+02
295.5,1.04E+01,1.98E+02
296,1.92E+01,2.05E+02
296.5,6.51E+01,2.22E+02
297,7.56E+01,2.32E+02
297.5,1.40E+01,2.18E+02
298,1.44E+01,2.27E+02
298.5,1.53E+01,2.29E+02
299,1.60E+01,2.30E+02
299.5,1.71E+01,2.36E+02
300,1.86E+01,2.40E+02
300.5,1.98E+01,2.42E+02
301,2.04E+01,2.46E+02
301.5,2.57E+01,2.48E+02
302,5.09E+01,2.60E+02
302.5,5.55E+01,2.60E+02
303,2.73E+01,2.52E+02
303.5,2.63E+01,2.53E+02
304,2.88E+01,2.54E+02
304.5,4.30E+01,2.56E+02
305,1.10E+02,2.57E+02
305.5,2.51E+02,2.60E+02
306,3.51E+02,2.63E+02
306.5,2.97E+02,2.63E+02
307,5.66E+01,2.58E+02
307.5,5.06E+01,2.60E+02
308,5.74E+01,2.61E+02
308.5,7.72E+01,2.62E+02
309,1.17E+02,2.61E+02
309.5,1.73E+02,2.59E+02
310,5.84E+02,2.59E+02
310.5,2.58E+03,2.58E+02
311,5.73E+03,2.59E+02
311.5,5.83E+03,2.58E+02
312,4.35E+03,2.68E+02
312.5,5.72E+03,3.19E+02
313,1.21E+03,3.56E+02
313.5,6.49E+02,3.46E+02
314,3.13E+02,2.50E+02
314.5,2.54E+02,2.48E+02
315,1.74E+02,2.46E+02
315.5,1.22E+02,2.42E+02
316,1.04E+02,2.39E+02
316.5,8.55E+01,2.39E+02
317,7.91E+01,2.35E+02
317.5,7.58E+01,2.32E+02
318,7.43E+01,2.31E+02
318.5,6.90E+01,2.28E+02
319,6.65E+01,2.24E+02
319.5,6.85E+01,2.23E+02
320,6.97E+01,2.19E+02
320.5,6.95E+01,2.17E+02
321,6.79E+01,2.12E+02
321.5,6.98E+01,2.10E+02
322,7.29E+01,2.07E+02
322.5,7.46E+01,2.01E+02
323,7.74E+01,1.99E+02
323.5,7.96E+01,1.97E+02
324,7.67E+01,1.93E+02
324.5,8.47E+01,1.88E+02
325,9.88E+01,1.83E+02
325.5,1.08E+02,1.79E+02
326,1.05E+02,1.77E+02
326.5,1.02E+02,1.73E+02
327,8.41E+01,1.69E+02
327.5,6.45E+01,1.64E+02
328,5.42E+01,1.60E+02
328.5,4.85E+01,1.56E+02
329,4.66E+01,1.53E+02
329.5,4.53E+01,1.49E+02
330,4.46E+01,1.44E+02
330.5,4.44E+01,1.41E+02
331,4.36E+01,1.35E+02
331.5,4.31E+01,1.32E+02
332,4.30E+01,1.28E+02
332.5,4.26E+01,1.24E+02
333,4.22E+01,1.20E+02
333.5,4.49E+01,1.18E+02
334,6.09E+01,1.20E+02
334.5,7.55E+01,1.20E+02
335,4.26E+01,1.06E+02
335.5,4.09E+01,1.02E+02
336,4.06E+01,9.83E+01
336.5,4.07E+01,9.66E+01
337,4.02E+01,9.27E+01
337.5,3.98E+01,8.92E+01
338,4.02E+01,8.72E+01
338.5,3.96E+01,8.33E+01
339,3.93E+01,7.99E+01
339.5,3.90E+01,7.75E+01
340,3.85E+01,7.44E+01
340.5,3.84E+01,7.21E+01
341,3.81E+01,6.98E+01
341.5,3.78E+01,6.70E+01
342,3.76E+01,6.47E+01
342.5,3.72E+01,6.24E+01
343,3.70E+01,5.98E+01
343.5,3.66E+01,5.82E+01
344,3.65E+01,5.62E+01
344.5,3.62E+01,5.38E+01
345,3.60E+01,5.20E+01
345.5,3.61E+01,5.00E+01
346,3.56E+01,4.80E+01
346.5,3.49E+01,4.55E+01
347,3.48E+01,4.46E+01
347.5,3.46E+01,4.27E+01
348,3.45E+01,4.14E+01
348.5,3.42E+01,3.97E+01
349,3.38E+01,3.81E+01
349.5,3.38E+01,3.66E+01
350,3.36E+01,3.56E+01
350.5,3.33E+01,3.39E+01
351,3.32E+01,3.29E+01
351.5,3.29E+01,3.17E+01
352,3.28E+01,3.03E+01
352.5,3.25E+01,2.92E+01
353,3.25E+01,2.83E+01
353.5,3.22E+01,2.71E+01
354,3.18E+01,2.59E+01
354.5,3.17E+01,2.51E+01
355,3.17E+01,2.41E+01
355.5,3.12E+01,2.33E+01
356,3.12E+01,2.28E+01
