Dataset x;Dataset y
3,101756131584E2;-1,743694046321E-3
3,130825828133E2;-1,763203909777E-3
3,145427741563E2;1,668337198725E-2
3,159895524681E2;-1,782713773232E-3
3,334307607140E2;-3,577621211124E-3
3,348872939576E2;4,801865142946E-3
3,359749688452E2;-1,916844084487E-3
3,421522793617E2;-1,958302544330E-3
3,490599903914E2;8,062451072921E-3
3,530686576482E2;3,991474189670E-2
3,556335950094E2;9,862235976676E-2
3,582034098364E2;1,707527636941E-1
3,585808037576E2;2,093408348758E-1
3,596934756578E2;2,714139041919E-1
3,604452150841E2;3,402008052696E-1
3,619279647067E2;4,207277666815E-1
3,623230394416E2;5,079734373209E-1
3,630942887313E2;6,304514826277E-1
3,642136671471E2;7,109808827725E-1
3,656909296206E2;7,764072098700E-1
3,661335596477E2;9,945250445678E-1
3,679290767689E2;9,357881619026E-1
3,683137868889E2;9,945104121703E-1
3,693715872981E2;9,055771383420E-1
3,708183656100E2;8,871110525815E-1
3,715347434087E2;8,585827547439E-1
3,722474631081E2;8,199873673634E-1
3,736826574385E2;7,696421647169E-1
3,740252994154E2;7,125928852405E-1
3,750946838061E2;6,555387282983E-1
3,765250006707E2;5,917707395945E-1
3,772310138544E2;5,347190213852E-1
3,786631597687E2;4,759845774529E-1
3,790070211121E2;4,222909944909E-1
3,800782345525E2;3,702703823202E-1
3,815146482494E2;3,232808761880E-1
3,822261485822E2;2,813297922931E-1
3,833028491717E2;2,444098144368E-1
3,843807691276E2;2,108455330948E-1
3,854611278164E2;1,839926447815E-1
3,865396574556E2;1,521062116967E-1
3,879809486183E2;1,185394916217E-1
3,890606976239E2;9,000875505123E-2
3,912311699333E2;6,314855053908E-2
3,934034712925E2;4,132189079842E-2
3,955776017013E2;2,452877582923E-2
3,988430650971E2;1,108404117557E-2
4,039278232601E2;4,338505885882E-3
4,043027784484E2;3,621518403898E-2
4,064945896710E2;6,807966852742E-2
4,072066996871E2;2,780643288973E-2
4,093790010462E2;5,979773149063E-3
4,141003880024E2;-7,633234076902E-4
7,996366287931E2;-5,028667305615E-3
