spct.idx,Q_UVB.ISO,Q_UVA2.CIE,Q_UVA1.CIE,Q_Blue.Sellaro,Q_Green.Sellaro,Q_Red.Smith20,Q_FarRed.Smith20,Q_PAR,]UVC:PAR[q:q],UVB:PAR[q:q],UVA:PAR[q:q],blue:green[q:q],red:far-red[q:q],when.measured
Aralab.Luke.100pc.5C.a.spct,-0.138,-0.0646,0.213,7.57,14.5,1.14,0.121,48.3,-0.00753,-0.00285,0.00307,0.521,9.41,2023-12-01T12:45:52.799Z
Aralab.Luke.100pc.5C.spct,-0.14,-0.0644,0.223,7.85,15.1,1.19,0.125,49.9,-0.0074400000000000004,-0.00281,0.00317,0.521,9.5,2023-12-01T13:04:12.513Z
Aralab.Luke.100pc.10C.spct,-0.0805,-0.00956,0.51,12.5,23.5,1.85,0.169,77.7,-0.00375,-0.00104,0.00644,0.533,10.9,2023-12-01T13:19:44.888Z
Aralab.Luke.100pc.15C.spct,-0.0109,0.0577,0.82,18,33.1,2.61,0.221,109,-0.00173,-9.94e-5,0.00803,0.543,11.8,2023-12-01T13:32:48.339Z
Aralab.Luke.10pc.15C.spct,0.00732,0.012,0.114,2.22,3.48,0.263,0.0208,11.6,-2.24e-4,6.32e-4,0.0109,0.637,12.6,2023-12-01T13:41:26.789Z
Aralab.Luke.50pc.15C.spct,0.00447,0.0376,0.498,10.5,18,1.42,0.117,60,-0.0014,7.45e-5,0.00892,0.585,12.1,2023-12-01T13:46:09.669Z
Aralab.Luke.100pc.20C.spct,0.0473,0.111,1.04,22.3,40.6,3.19,0.262,134,-7.18e-4,3.53e-4,0.00861,0.549,12.2,2023-12-01T13:57:02.925Z
Aralab.Luke.50pc.20C.spct,0.0516,0.0764,0.627,13.4,22.8,1.78,0.145,75.8,-2e-4,6.81e-4,0.00927,0.587,12.2,2023-12-01T14:00:04.086Z
Aralab.Luke.10pc.20C.spct,0.00908,0.0149,0.116,2.4,3.92,0.294,0.0237,12.9,1.32e-4,7.01e-4,0.0101,0.612,12.4,2023-12-01T14:03:49.957Z
Aralab.Luke.100pc.22C.spct,0.0725,0.133,1.14,24.3,44,3.4,0.28,145,-4.22e-4,5e-4,0.00877,0.552,12.2,2023-12-01T14:18:18.479Z
