Wavelength,W.m2
Wavelength(nm),W/m2
472,6.5652E-4
473,6.44031E-4
474,6.34029E-4
475,6.18998E-4
476,6.0811E-4
477,5.90586E-4
478,5.98085E-4
479,5.88169E-4
480,5.90019E-4
481,5.94247E-4
482,5.88843E-4
483,5.95396E-4
484,6.06006E-4
485,6.30489E-4
486,6.43351E-4
487,6.54722E-4
488,6.56193E-4
489,6.37922E-4
490,7.40184E-4
491,0.00136
492,0.00154
493,8.91744E-4
494,6.52455E-4
495,5.67929E-4
496,5.28336E-4
497,5.19368E-4
498,5.20075E-4
499,5.02768E-4
500,4.92953E-4
501,4.94332E-4
502,5.03541E-4
503,5.04216E-4
504,5.1004E-4
505,5.25073E-4
506,5.20728E-4
507,5.10979E-4
508,5.15562E-4
509,5.13809E-4
510,4.99335E-4
511,5.08417E-4
512,5.06895E-4
513,4.98691E-4
514,4.99373E-4
515,5.12367E-4
516,5.11557E-4
517,5.11594E-4
518,4.96923E-4
519,4.96958E-4
520,4.96994E-4
521,5.04527E-4
522,4.90859E-4
523,4.77958E-4
524,4.73022E-4
525,4.67327E-4
526,4.68882E-4
527,4.70447E-4
528,4.71972E-4
529,4.74911E-4
530,4.74998E-4
531,4.7187E-4
532,4.66559E-4
533,4.68677E-4
534,4.77601E-4
535,4.87283E-4
536,4.97758E-4
537,4.92972E-4
538,5.1675E-4
539,5.68852E-4
540,6.7094E-4
541,8.76318E-4
542,0.00102
543,0.00101
544,0.00227
545,0.16449
546,0.10109
547,0.02057
548,7.70099E-4
549,7.6261E-4
550,7.08062E-4
551,6.50626E-4
552,6.00216E-4
553,5.75794E-4
554,5.56148E-4
555,5.68543E-4
556,5.66008E-4
557,5.68889E-4
558,5.75123E-4
559,6.10559E-4
560,6.26352E-4
561,6.46952E-4
562,6.80116E-4
563,6.84396E-4
564,7.06757E-4
565,7.31567E-4
566,7.79932E-4
567,8.23863E-4
568,8.396E-4
569,8.56733E-4
570,8.66388E-4
571,8.89937E-4
572,9.25652E-4
573,9.54135E-4
574,9.80122E-4
575,0.00205
576,0.01457
577,0.01211
578,0.03238
579,0.01879
580,0.00117
581,0.0012
582,0.0012
583,0.00125
584,0.00126
585,0.00127
586,0.00129
587,0.00128
588,0.00126
589,0.00127
590,0.00125
591,0.00126
592,0.00128
593,0.0013
594,0.0013
595,0.00125
596,0.00122
597,0.00122
598,0.00121
599,0.00122
600,0.00123
601,0.00121
602,0.00121
603,0.0012
604,0.00122
605,0.00123
606,0.00118
607,0.0012
608,0.00119
609,0.00116
610,0.00119
611,0.00124
612,0.00131
613,0.00122
614,0.0012
615,0.00118
616,0.00116
617,0.00114
618,0.00114
619,0.00114
620,0.00115
621,0.00116
622,0.00115
623,0.00114
624,0.00123
625,0.00126
626,0.00127
627,0.00118
628,0.00104
629,9.72887E-4
630,9.41511E-4
631,9.01994E-4
632,8.9417E-4
633,8.56765E-4
634,8.64803E-4
635,8.41119E-4
636,8.01433E-4
637,7.57494E-4
638,7.6631E-4
639,7.76983E-4
640,8.02324E-4
641,7.77062E-4
642,7.52615E-4
643,7.98317E-4
644,7.69876E-4
645,8.03024E-4
646,7.91698E-4
647,8.01446E-4
648,8.11261E-4
649,8.19431E-4
650,8.13244E-4
651,8.4003E-4
652,8.56759E-4
653,8.44465E-4
654,8.57353E-4
655,8.68466E-4
656,8.11729E-4
657,8.2441E-4
658,8.12741E-4
659,8.46412E-4
660,8.11334E-4
