Wavelength.,W.m2
Wavelength(nm),W/m2
478,6.05955E-4
479,6.00012E-4
480,5.86059E-4
481,5.90258E-4
482,5.92849E-4
483,5.99419E-4
484,6.14086E-4
485,6.26421E-4
486,6.43351E-4
487,6.62906E-4
488,6.68496E-4
489,6.50269E-4
490,7.5259E-4
491,0.00137
492,0.00157
493,9.32838E-4
494,6.68767E-4
495,5.79928E-4
496,5.36163E-4
497,5.2712E-4
498,5.20075E-4
499,5.14194E-4
500,5.00479E-4
501,5.01822E-4
502,5.11113E-4
503,5.16033E-4
504,5.14255E-4
505,5.20467E-4
506,5.35895E-4
507,5.32956E-4
508,5.27279E-4
509,5.13809E-4
510,5.24618E-4
511,5.27724E-4
512,5.26391E-4
513,5.18376E-4
514,4.92802E-4
515,5.05798E-4
516,5.04998E-4
517,4.91917E-4
518,4.96923E-4
519,4.96958E-4
520,4.96994E-4
521,5.04527E-4
522,4.97404E-4
523,4.91052E-4
524,4.86161E-4
525,4.80491E-4
526,4.75486E-4
527,4.77073E-4
528,4.78619E-4
529,4.74911E-4
530,4.74998E-4
531,4.78611E-4
532,4.80082E-4
533,4.75469E-4
534,4.84424E-4
535,5.01009E-4
536,5.04671E-4
537,4.92972E-4
538,5.23733E-4
539,5.68852E-4
540,6.56815E-4
541,8.62069E-4
542,0.001
543,0.001
544,0.00197
545,0.15207
546,0.1092
547,0.02205
548,7.85053E-4
549,7.6261E-4
550,6.77607E-4
551,6.27663E-4
552,5.6174E-4
553,5.52451E-4
554,5.40482E-4
555,5.13268E-4
556,4.9426E-4
557,4.88764E-4
558,4.8602E-4
559,4.64025E-4
560,4.86247E-4
561,4.81067E-4
562,4.86997E-4
563,4.98511E-4
564,4.93879E-4
565,4.99187E-4
566,5.02623E-4
567,5.17106E-4
568,5.30274E-4
569,5.08685E-4
570,5.23443E-4
571,5.35778E-4
572,5.31562E-4
573,5.55807E-4
574,5.78738E-4
575,0.0017
576,0.01416
577,0.01166
578,0.01793
579,0.01461
580,0.01015
581,0.00354
582,0.00157
583,9.86121E-4
584,8.00582E-4
585,7.5642E-4
586,7.52688E-4
587,7.40726E-4
588,7.36607E-4
589,7.49983E-4
590,7.9087E-4
591,8.18232E-4
592,8.58172E-4
593,8.98728E-4
594,9.17787E-4
595,9.14763E-4
596,9.23282E-4
597,9.0906E-4
598,9.18955E-4
599,9.49034E-4
600,9.47612E-4
601,9.51331E-4
602,9.71576E-4
603,9.56319E-4
604,9.39114E-4
605,9.47486E-4
606,9.73297E-4
607,9.91169E-4
608,9.53385E-4
609,9.49386E-4
610,9.74066E-4
611,0.00101
612,0.0011
613,0.00105
614,9.82862E-4
615,9.66565E-4
616,9.65205E-4
617,9.6019E-4
618,9.42886E-4
619,9.54779E-4
620,9.6517E-4
621,9.48731E-4
622,9.60912E-4
623,9.82602E-4
624,0.00104
625,0.00108
626,0.00109
627,9.67215E-4
628,8.53654E-4
629,8.1597E-4
630,8.13848E-4
631,7.89245E-4
632,7.64109E-4
633,7.24955E-4
634,7.48388E-4
635,7.23362E-4
636,6.99123E-4
637,7.05847E-4
638,6.96645E-4
639,6.53372E-4
640,6.59689E-4
641,6.68634E-4
642,6.60832E-4
643,6.68359E-4
644,6.94766E-4
645,6.69187E-4
646,6.7584E-4
647,7.03709E-4
648,7.32114E-4
649,6.59542E-4
650,6.91258E-4
651,6.9661E-4
652,7.52276E-4
653,7.17795E-4
654,7.2875E-4
655,7.16485E-4
656,7.23975E-4
657,7.13003E-4
658,7.22437E-4
