Dataset x;Dataset y
3,497435897436E2;2,593769866497E-3
3,994871794872E2;2,867839231476E-3
4,120512820513E2;2,937062937063E-3
4,184615384615E2;1,288973652610E-2
4,233333333333E2;2,779261142897E-2
4,269230769231E2;5,508511690330E-2
4,307692307692E2;9,973440700713E-2
4,335897435897E2;1,418987073533E-1
4,358974358974E2;1,939775376139E-1
4,374358974359E2;2,386141131596E-1
4,392307692308E2;2,882107791199E-1
4,405128205128E2;3,402839584658E-1
4,415384615385E2;3,898763862400E-1
4,428205128205E2;4,469082432719E-1
4,441025641026E2;5,039401003037E-1
4,451282051282E2;5,634498834499E-1
4,458974358974E2;6,204789150244E-1
4,474358974359E2;6,948675566857E-1
4,484615384615E2;7,469393233030E-1
4,500000000000E2;7,890965600057E-1
4,510256410256E2;8,089369216642E-1
4,512820512821E2;8,114176732359E-1
4,530769230769E2;7,965515292788E-1
4,543589743590E2;7,568891714346E-1
4,553846153846E2;7,172254008618E-1
4,564102564103E2;6,577269195451E-1
4,571794871795E2;5,957476866568E-1
4,587179487179E2;5,312933531115E-1
4,602564102564E2;4,569216641944E-1
4,623076923077E2;3,924701561065E-1
4,653846153846E2;3,478590096772E-1
4,682051282051E2;3,082051282051E-1
4,710256410256E2;2,635925690471E-1
4,738461538462E2;2,338560429470E-1
4,771794871795E2;2,239570530480E-1
4,807692307692E2;2,314148477785E-1
4,846153846154E2;2,587087659815E-1
4,882051282051E2;2,983979656707E-1
4,907692307692E2;3,232054813873E-1
4,930769230769E2;3,480115843752E-1
4,953846153846E2;3,852143815780E-1
4,992307692308E2;4,199463163100E-1
5,017948717949E2;4,472331708695E-1
5,056410256410E2;4,794857667585E-1
5,097435897436E2;4,968637423183E-1
5,148717948718E2;5,192060464788E-1
5,210256410256E2;5,415540015540E-1
5,261538461538E2;5,663756445575E-1
5,310256410256E2;5,936752136752E-1
5,374358974359E2;6,309006145370E-1
5,417948717949E2;6,755527300982E-1
5,443589743590E2;6,879635515999E-1
5,466666666667E2;6,954142826870E-1
5,520512820513E2;7,251960161051E-1
5,576923076923E2;7,648965176238E-1
5,664102564103E2;8,170106661016E-1
5,746153846154E2;8,790393444939E-1
5,800000000000E2;9,236971109698E-1
5,848717948718E2;9,559553577735E-1
5,907692307692E2;9,832605778060E-1
5,958974358974E2;9,981648654376E-1
5,997435897436E2;1,003144734054E0
6,015384615385E2;9,932372677827E-1
6,025641025641E2;9,932429186975E-1
6,043589743590E2;9,932528077983E-1
6,053846153846E2;1,000696475242E0
6,071794871795E2;9,932683478138E-1
6,097435897436E2;9,759271031998E-1
6,161538461538E2;9,164582891856E-1
6,161538461538E2;9,164582891856E-1
6,215384615385E2;8,644218407855E-1
6,264102564103E2;8,099032280850E-1
6,307692307692E2;7,454644345553E-1
6,364102564103E2;6,785533658261E-1
6,417948717949E2;6,091615455252E-1
6,474358974359E2;5,372917991100E-1
6,535897435897E2;4,679042169951E-1
6,587179487179E2;4,109076781804E-1
6,628205128205E2;3,638228438228E-1
6,697435897436E2;3,018775164230E-1
6,769230769231E2;2,424129405948E-1
6,841025641026E2;2,003037366674E-1
6,902564102564E2;1,681062371971E-1
6,964102564103E2;1,383880765699E-1
7,041025641026E2;1,111577311577E-1
7,125641025641E2;8,641096277460E-2
7,220512820513E2;6,910786183513E-2
7,315384615385E2;5,428409973865E-2
7,415384615385E2;4,442184078548E-2
7,494871794872E2;3,702761884580E-2
7,592307692308E2;3,212262484990E-2
7,689743589744E2;2,721763085399E-2
