Dataset x;Dataset y
3,605373056484E2;2,714932126697E-3
3,775217293244E2;2,714932126697E-3
3,895286223763E2;0,000000000000E0
3,974325143429E2;1,085972850679E-2
4,067932930181E2;5,158371040724E-2
4,105895462427E2;9,502262443439E-2
4,143824868553E2;1,520361990950E-1
4,172962602726E2;2,117647058824E-1
4,190373690813E2;2,769230769231E-1
4,210693252139E2;3,502262443439E-1
4,236750257256E2;4,723981900452E-1
4,259865663016E2;6,000000000000E-1
4,271466429850E2;6,461538461538E-1
4,280152098222E2;6,868778280543E-1
4,291779365952E2;7,221719457014E-1
4,306328357367E2;7,601809954751E-1
4,318015252111E2;7,710407239819E-1
4,329748523421E2;7,628959276018E-1
4,341501670402E2;7,466063348416E-1
4,353287943502E2;7,167420814480E-1
4,362159118140E2;6,814479638009E-1
4,385811167026E2;5,891402714932E-1
4,406567993121E2;4,832579185520E-1
4,430160414993E2;4,153846153846E-1
4,447856387702E2;3,638009049774E-1
4,494842474733E2;3,095022624434E-1
4,538906838077E2;2,524886877828E-1
4,577054876588E2;2,199095022624E-1
4,603436517670E2;2,090497737557E-1
4,632700131095E2;2,171945701357E-1
4,688279133364E2;2,416289592760E-1
4,726254916057E2;2,796380090498E-1
4,781767666089E2;3,312217194570E-1
4,825586896153E2;3,746606334842E-1
4,872321224680E2;4,235294117647E-1
4,919088679325E2;4,588235294118E-1
4,962954285956E2;4,832579185520E-1
5,006826517811E2;5,049773755656E-1
5,062412145304E2;5,266968325792E-1
5,112134449754E2;5,511312217195E-1
5,135567866255E2;5,484162895928E-1
5,199898789135E2;5,864253393665E-1
5,261314613552E2;6,190045248869E-1
5,331462482908E2;6,733031674208E-1
5,407486925755E2;7,194570135747E-1
5,468896124949E2;7,547511312217E-1
5,498080235689E2;7,954751131222E-1
5,524395624533E2;8,117647058824E-1
5,547829041034E2;8,090497737557E-1
5,574111303759E2;8,389140271493E-1
5,623820357762E2;8,687782805430E-1
5,661829266574E2;8,932126696833E-1
5,699838175385E2;9,176470588235E-1
5,752475578297E2;9,475113122172E-1
5,802197882748E2;9,719457013575E-1
5,860711859151E2;9,936651583710E-1
5,907538940810E2;1,004524886878E0
5,966119169451E2;9,990950226244E-1
6,021784299629E2;9,882352941176E-1
6,080404279613E2;9,665158371041E-1
6,124409015943E2;9,339366515837E-1
6,177218674673E2;8,932126696833E-1
6,227093359270E2;8,552036199095E-1
6,279909643225E2;8,117647058824E-1
6,332679550612E2;7,873303167421E-1
6,370774587333E2;7,764705882353E-1
6,411731720726E2;7,927601809955E-1
6,455577451685E2;8,253393665158E-1
6,493539983930E2;8,687782805430E-1
6,519795745761E2;9,095022624434E-1
6,543123158681E2;9,502262443439E-1
6,551861828844E2;9,692307692308E-1
6,563548723587E2;9,800904977376E-1
6,578210343807E2;9,719457013575E-1
6,589963490788E2;9,556561085973E-1
6,604717864141E2;9,095022624434E-1
6,616603515597E2;8,389140271493E-1
6,637353716469E2;7,357466063348E-1
6,655202069325E2;6,217194570136E-1
6,673010670839E2;5,239819004525E-1
6,696629593606E2;4,452488687783E-1
6,720202139806E2;3,855203619910E-1
6,743761435559E2;3,312217194570E-1
6,779014251279E2;2,850678733032E-1
6,825973837414E2;2,416289592760E-1
6,881711845054E2;2,009049773756E-1
6,931560028756E2;1,737556561086E-1
7,007769977869E2;1,438914027149E-1
7,072246655672E2;1,221719457014E-1
7,163098349333E2;9,230769230769E-2
7,262701963604E2;7,601809954751E-2
7,341800510283E2;6,244343891403E-2
7,438462525197E2;5,158371040724E-2
7,543902961616E2;4,343891402715E-2
7,649343398035E2;3,529411764706E-2
7,763575506407E2;2,443438914027E-2
7,892449359327E2;1,357466063348E-2
7,974469629692E2;2,714932126697E-3
8,112108653670E2;0,000000000000E0
8,279024541520E2;0,000000000000E0
