spct.idx,Q_UVB.ISO,Q_UVA2.CIE,Q_UVA1.CIE,Q_Blue.Sellaro,Q_Green.Sellaro,Q_Red.Smith20,Q_FarRed.Smith20,Q_PAR,]UVC:PAR[q:q],UVB:PAR[q:q],UVA:PAR[q:q],blue:green[q:q],red:far-red[q:q],when.measured
Godox.bare.bulb.pw128.spct,-0.00109,0.0025,0.0125,0.0493,0.0582,0.0161,0.0173,0.233,-0.0019,-0.00468,0.0642,0.846,0.928,2023-12-02T20:17:49.454Z
Godox.bare.bulb.pwr32.spct,0.00357,0.00781,0.0494,0.144,0.163,0.0459,0.0494,0.67,0.0136,0.00533,0.0853,0.884,0.929,2023-12-02T20:19:50.378Z
Godox.bare.bulb.pwr8.spct,0.00723,0.0339,0.263,0.771,0.883,0.252,0.269,3.63,-8.61e-4,0.00199,0.0819,0.873,0.936,2023-12-02T20:21:27.259Z
Godox.bare.bulb.pwr2.spct,0.0576,0.159,1.1,3.04,3.28,0.924,1.05,13.4,0.0012,0.0043,0.094,0.927,0.884,2023-12-02T20:22:46.078Z
Godox.bare.bulb.pwr8.honeycomb.spct,0.00473,0.0231,0.162,0.479,0.552,0.159,0.167,2.27,-6.39e-4,0.00208,0.0814,0.868,0.949,2023-12-02T20:26:21.633Z
Godox.round.no.filter.pwr8.spct,0.00981,0.0145,0.0921,0.245,0.284,0.0827,0.0883,1.17,0.00404,0.00835,0.0907,0.864,0.936,2023-12-02T20:29:43.147Z
Godox.round.no.filter.pwr4.spct,0.00909,0.0228,0.169,0.485,0.564,0.165,0.176,2.34,-0.00209,0.00389,0.082,0.86,0.934,2023-12-02T20:31:19.411Z
Godox.round.no.filter.pwr2.spct,0.00166,0.0397,0.328,0.991,1.16,0.344,0.37,4.81,-0.00707,3.44e-4,0.0765,0.855,0.93,2023-12-02T20:32:36.581Z
Godox.round.no.filter.pwr1.spct,0.053,0.112,0.748,2.13,2.49,0.747,0.822,10.4,5e-4,0.00508,0.0825,0.856,0.909,2023-12-02T20:33:45.469Z
Godox.round.no.filter.pwr32.spct,0.0113,0.0154,0.0876,0.244,0.282,0.08,0.0845,1.16,0.00641,0.00975,0.089,0.866,0.947,2023-12-02T20:35:45.429Z
Godox.round.Zomei.diff.pwr8.spct,6.56e-5,0.0229,0.281,0.818,0.944,0.267,0.277,3.86,-4.51e-4,1.7e-5,0.0788,0.867,0.962,2023-12-02T20:38:35.850Z
Godox.round.Fotga.UVIR.pwr8.spct,0.00199,3.22e-4,0.0313,0.85,0.982,0.0238,0.00179,3.22,0.00184,6.17e-4,0.00981,0.865,13.3,2023-12-02T20:41:26.831Z
Godox.round.Tangsinuo.ZWB1.pwr8.spct,0.0203,0.0429,0.135,6.71e-4,0.00113,3.49e-4,0.0565,0.0245,0.262,0.826,7.27,0.594,0.00618,2023-12-02T20:43:43.641Z
Godox.round.Tangsinuo.ZWB1.pwr1.spct,0.13,0.332,1.14,0.00171,6.28e-4,8.81e-4,0.529,0.205,0.0569,0.633,7.17,2.73,0.00166,2023-12-02T20:45:29.259Z
Godox.round.Zomei.IR720.pwr8.spct,-2.5e-4,5.24e-6,-0.00252,-0.00393,-0.00458,-5.79e-4,0.259,0.00911,-0.0706,-0.0275,-0.276,0.858,-0.00223,2023-12-02T20:47:34.143Z
Godox.round.Zomei.IR850.pwr8.spct,-0.00248,-6.1e-4,-1.79e-4,-0.0028,-0.00239,-6.54e-4,-4.22e-4,-0.0099,0.285,0.251,0.0797,1.17,1.55,2023-12-02T20:49:37.464Z
Godox.speedlight.pwr8.spct,0.00589,0.00404,0.0073,1.54,1.65,0.451,0.448,6.51,0.00115,9.05e-4,0.00174,0.933,1.01,2023-12-02T20:53:22.399Z
Godox.speedlight.pwr4.spct,-0.00514,-0.00244,7.43e-4,3.08,3.25,0.904,0.9,12.9,2.97e-4,-4e-4,-1.32e-4,0.948,1.01,2023-12-02T20:54:51.389Z
Godox.speedlight.pwr32.spct,0.00319,0.00286,0.00349,0.236,0.254,0.0685,0.0687,0.994,0.00426,0.00321,0.00638,0.93,0.996,2023-12-02T20:56:14.143Z
Godox.speedlight.pwr128.x4.spct,0.00269,9.25e-4,0.0048,1.87,2.01,0.543,0.548,7.88,9.96e-5,3.41e-4,7.26e-4,0.927,0.992,2023-12-02T20:57:28.690Z
Godox.generic.bare.lamp.pwr8.spct,0.0181,0.0608,0.301,0.532,0.568,0.161,0.172,2.39,-6.16e-5,0.00757,0.151,0.936,0.933,2023-12-02T21:01:54.510Z
Godox.generic.bare.lamp.pwr4.spct,0.0289,0.114,0.586,1.05,1.12,0.32,0.345,4.74,-9.78e-5,0.00609,0.148,0.934,0.93,2023-12-02T21:03:20.520Z
Godox.generic.bare.lamp.Godox.plastic.diffuser.pwr8.spct,0.00588,0.0359,0.234,0.517,0.548,0.156,0.17,2.31,0.00199,0.00255,0.117,0.944,0.919,2023-12-02T21:05:55.227Z
Godox.generic.bare.lamp.Godox.plastic.diffuser.pwr4.spct,0.0034,0.0601,0.442,0.988,1.05,0.304,0.331,4.44,-5.3e-5,7.66e-4,0.113,0.941,0.918,2023-12-02T21:07:16.378Z
